,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type
5179,52344002,1377.0,Fermata 1377 - VERCELLI,V.LAURO ROSSI N.24,45.09548,7.69185,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1377&stoppingPointCtl:action:getTransits,0
5180,52355003,232.0,Fermata 232 - PALERMO,C.G.CESARE / V.ELVO,45.09083,7.69277,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=232&stoppingPointCtl:action:getTransits,0
5181,52377003,14209.0,Fermata 14209 - Front (Grange-Bivio),,45.26663,7.69001,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=14209&stoppingPointCtl:action:getTransits,0
5182,52410004,12482.0,Fermata 12482 - Favria (v. S.Pietro/P.za Martiri Liberta'),,45.33174,7.69076,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=12482&stoppingPointCtl:action:getTransits,0
5183,52411002,12353.0,Fermata 12353 - Salassa,,45.3581,7.69001,,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=12353&stoppingPointCtl:action:getTransits,0
5184,52424002,81.0,Fermata 81 - REBAUDENGO,V.BOTTICELLI N. 11,45.10332,7.69682,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=81&stoppingPointCtl:action:getTransits,0
5185,52427002,603.0,Fermata 603 - VANCHIGLIA,C.S.MAURIZIO / V.VANCHIGLIA,45.0667,7.69772,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=603&stoppingPointCtl:action:getTransits,0
5186,52521003,75.0,Fermata 75 - AMBROSIO,V.SEMPIONE / V.AMBROSIO,45.09473,7.70328,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=75&stoppingPointCtl:action:getTransits,0
5187,52541002,572.0,Fermata 572 - RICASOLI,C.BELGIO / V.RICASOLI,45.07184,7.70556,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=572&stoppingPointCtl:action:getTransits,0
5188,52543003,1616.0,Fermata 1616 - CILEA,V.PERGOLESI / V.CILEA,45.09652,7.70517,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1616&stoppingPointCtl:action:getTransits,0
5189,52554004,1276.0,Fermata 1276 - VERCELLI,V.IVREA N.47,45.11662,7.70546,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1276&stoppingPointCtl:action:getTransits,0
5190,52558005,1279.0,Fermata 1279 - GIULIO CESARE,V.IVREA / V.SAMONE,45.1136,7.70626,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1279&stoppingPointCtl:action:getTransits,0
5191,52591003,752.0,Fermata 752 - CIMAROSA,V.BOLOGNA DOPO V.CIMAROSA,45.08825,7.70848,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=752&stoppingPointCtl:action:getTransits,0
5192,52592004,219.0,Fermata 219 - BORROMINI,C.GABETTI / C.CASALE,45.06695,7.70912,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=219&stoppingPointCtl:action:getTransits,0
5193,52611003,1269.0,Fermata 1269 - FRASSINI,V.FALCHERA / V DELLE ROBINIE,45.1272,7.70874,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1269&stoppingPointCtl:action:getTransits,0
5194,52659004,1445.0,Fermata 1445 - HERMADA,STR.VAL S.MARTINO N.6,45.06399,7.71292,0.0,http://www.5t.torino.it/5t/it/trasporto/arrivi-ricerca.jsp?shortName=1445&stoppingPointCtl:action:getTransits,0
